#flows,epsilon,is_correlated,key,count_chern,byte_chern,pred,true
50,0.01,1,s4-s5,0.0225487186273,0.00715833429779,0,1
50,0.01,1,s3-s6,0.00415931990828,0.0141766187623,1,1
50,0.01,1,s5-s6,0.525839619627,0.608227684358,-1,1
50,0.01,1,s3-s4,0.0316193221087,0.177329500151,-1,1
50,0.01,0,s4-s5,0.578879072939,0.351337233693,-1,-1
50,0.01,0,s3-s6,0.317793244145,0.58820946418,-1,-1
50,0.01,0,s5-s6,0.122827092479,0.507846718206,-1,-1
50,0.01,0,s3-s4,0.851997995315,0.731912973623,-1,-1
100,0.01,1,s4-s5,0.000421373313568,0.184233791525,1,1
100,0.01,1,s3-s6,0.00403110411498,0.00620943592582,1,1
100,0.01,1,s5-s6,0.150743712764,0.349027944715,-1,1
100,0.01,1,s3-s4,0.100992546023,0.0520293376409,-1,1
100,0.01,0,s4-s5,0.0316763520241,0.0316763520241,-1,-1
100,0.01,0,s3-s6,0.485907000321,0.314691340146,-1,-1
100,0.01,0,s5-s6,0.725900584014,0.554920113156,-1,-1
100,0.01,0,s3-s4,0.921273443691,0.480338387514,-1,-1
150,0.01,1,s4-s5,0.189218447423,0.209620024064,-1,1
150,0.01,1,s3-s6,5.22970695661e-06,0.000877360600892,1,1
150,0.01,1,s5-s6,0.00179033730048,0.0875463627067,1,1
150,0.01,1,s3-s4,0.0700118978818,0.0114466099308,-1,1
150,0.01,0,s4-s5,0.280897748607,0.330122322417,-1,-1
150,0.01,0,s3-s6,0.103855526237,0.292584021565,-1,-1
150,0.01,0,s5-s6,0.280897748607,0.212623138989,-1,-1
150,0.01,0,s3-s4,0.545153784405,0.36449900909,-1,-1
200,0.01,1,s4-s5,0.000579897512177,0.00660973298618,1,1
200,0.01,1,s3-s6,0.0375517019118,0.0622162277084,-1,1
200,0.01,1,s5-s6,0.00142622776693,0.0204669172971,1,1
200,0.01,1,s3-s4,0.0176899477636,0.019794483033,-1,1
200,0.01,0,s4-s5,0.433521390789,0.125243594318,-1,-1
200,0.01,0,s3-s6,0.0178259020132,0.273473518512,-1,-1
200,0.01,0,s5-s6,0.113743446294,0.0464638362726,-1,-1
200,0.01,0,s3-s4,0.433176690681,0.775289609213,-1,-1
250,0.01,1,s4-s5,1.00410510129e-11,3.51197394254e-06,1,1
250,0.01,1,s3-s6,6.55390388343e-07,1.66189864517e-05,1,1
250,0.01,1,s5-s6,3.28630988016e-06,0.00379957342287,1,1
250,0.01,1,s3-s4,1.6293871945e-07,0.000208605452094,1,1
250,0.01,0,s4-s5,0.0438529623817,0.0776557680591,-1,-1
250,0.01,0,s3-s6,0.431438176721,0.184345905628,-1,-1
250,0.01,0,s5-s6,0.674851177038,0.683227653642,-1,-1
250,0.01,0,s3-s4,0.70116084688,0.483177023546,-1,-1
300,0.01,1,s4-s5,8.06773214331e-08,0.0101518799783,1,1
300,0.01,1,s3-s6,6.18766988608e-13,0.00173453278723,1,1
300,0.01,1,s5-s6,6.81387736416e-12,3.29231928992e-05,1,1
300,0.01,1,s3-s4,5.8432975297e-06,6.47127421895e-05,1,1
300,0.01,0,s4-s5,0.513163190717,0.584192539281,-1,-1
300,0.01,0,s3-s6,0.270206068506,0.701064509535,-1,-1
300,0.01,0,s5-s6,0.182690003719,0.254828996946,-1,-1
300,0.01,0,s3-s4,0.652548920426,0.395899949334,-1,-1
350,0.01,1,s4-s5,1.0039773813e-10,4.80727466098e-08,1,1
350,0.01,1,s3-s6,5.26019044519e-08,8.72380429699e-08,1,1
350,0.01,1,s5-s6,2.73568773969e-07,0.0123917537802,1,1
350,0.01,1,s3-s4,1.14639890067e-09,0.000475063717173,1,1
350,0.01,0,s4-s5,0.292594145618,0.242735620708,-1,-1
350,0.01,0,s3-s6,0.380372422709,0.208647428954,-1,-1
350,0.01,0,s5-s6,0.325889231659,0.205500694646,-1,-1
350,0.01,0,s3-s4,0.474058220553,0.230470273461,-1,-1
400,0.01,1,s4-s5,1.5030932734e-09,2.72826920291e-05,1,1
400,0.01,1,s3-s6,6.06441821676e-12,2.92392067648e-06,1,1
400,0.01,1,s5-s6,8.46893401355e-05,0.190440995852,1,1
400,0.01,1,s3-s4,1.30312776051e-05,0.025646732546,1,1
400,0.01,0,s4-s5,0.391156687379,0.130664364186,-1,-1
400,0.01,0,s3-s6,0.214040079959,0.151976324445,-1,-1
400,0.01,0,s5-s6,0.196319452804,0.0164846164546,-1,-1
400,0.01,0,s3-s4,0.304370989362,0.118916294124,-1,-1
450,0.01,1,s4-s5,1.6965098854e-12,1.01754064637e-05,1,1
450,0.01,1,s3-s6,8.03445960796e-16,3.62684803957e-14,1,1
450,0.01,1,s5-s6,8.94665046533e-10,0.000116414275545,1,1
450,0.01,1,s3-s4,2.63451069433e-14,6.47089520008e-07,1,1
450,0.01,0,s4-s5,0.583919464609,0.629106161967,-1,-1
450,0.01,0,s3-s6,0.167647842243,0.0639087824487,-1,-1
450,0.01,0,s5-s6,0.190091901247,0.203854382009,-1,-1
450,0.01,0,s3-s4,0.044119816248,0.0745806477696,-1,-1
500,0.01,1,s4-s5,1.5328768249e-16,4.15194014641e-11,1,1
500,0.01,1,s3-s6,1.319568694e-13,1.46715249135e-15,1,1
500,0.01,1,s5-s6,2.51517880902e-14,6.17374371438e-10,1,1
500,0.01,1,s3-s4,1.0286708492e-09,1.02530071645e-05,1,1
500,0.01,0,s4-s5,0.438979837844,0.509797298452,-1,-1
500,0.01,0,s3-s6,0.314461840976,0.503679520969,-1,-1
500,0.01,0,s5-s6,0.5346099224,0.663777180882,-1,-1
500,0.01,0,s3-s4,0.496915179941,0.171469000009,-1,-1
