#flows,iteration,epsilon,r_threshold,is_correlated,#correlated_detect,#non-uniform_detect,#all_cases
100,0,0.001,0.01,1,2,2,4
100,0,0.001,0.01,0,0,2,4
100,0,0.001,0.01,-1,0,0,4
200,0,0.001,0.01,1,4,0,4
200,0,0.001,0.01,0,0,3,4
200,0,0.001,0.01,-1,0,0,4
300,0,0.001,0.01,1,3,1,4
300,0,0.001,0.01,0,0,4,4
300,0,0.001,0.01,-1,0,0,4
400,0,0.001,0.01,1,4,0,4
400,0,0.001,0.01,0,0,4,4
400,0,0.001,0.01,-1,0,0,4
500,0,0.001,0.01,1,4,0,4
500,0,0.001,0.01,0,0,4,4
500,0,0.001,0.01,-1,0,0,4
600,0,0.001,0.01,1,4,0,4
600,0,0.001,0.01,0,0,4,4
600,0,0.001,0.01,-1,0,0,4
100,1,0.001,0.01,1,2,2,4
100,1,0.001,0.01,0,0,3,4
100,1,0.001,0.01,-1,0,0,4
200,1,0.001,0.01,1,4,0,4
200,1,0.001,0.01,0,0,4,4
200,1,0.001,0.01,-1,0,0,4
300,1,0.001,0.01,1,4,0,4
300,1,0.001,0.01,0,0,4,4
300,1,0.001,0.01,-1,0,0,4
400,1,0.001,0.01,1,4,0,4
400,1,0.001,0.01,0,0,4,4
400,1,0.001,0.01,-1,0,0,4
500,1,0.001,0.01,1,4,0,4
500,1,0.001,0.01,0,0,4,4
500,1,0.001,0.01,-1,0,0,4
600,1,0.001,0.01,1,4,0,4
600,1,0.001,0.01,0,0,4,4
600,1,0.001,0.01,-1,0,0,4
100,2,0.001,0.01,1,0,2,4
100,2,0.001,0.01,0,0,4,4
100,2,0.001,0.01,-1,0,1,4
200,2,0.001,0.01,1,2,2,4
200,2,0.001,0.01,0,0,4,4
200,2,0.001,0.01,-1,0,1,4
300,2,0.001,0.01,1,4,0,4
300,2,0.001,0.01,0,0,4,4
300,2,0.001,0.01,-1,0,0,4
400,2,0.001,0.01,1,4,0,4
400,2,0.001,0.01,0,0,4,4
400,2,0.001,0.01,-1,0,0,4
500,2,0.001,0.01,1,4,0,4
500,2,0.001,0.01,0,0,4,4
500,2,0.001,0.01,-1,0,0,4
600,2,0.001,0.01,1,4,0,4
600,2,0.001,0.01,0,0,4,4
600,2,0.001,0.01,-1,0,0,4
100,3,0.001,0.01,1,1,2,4
100,3,0.001,0.01,0,0,3,4
100,3,0.001,0.01,-1,0,0,4
200,3,0.001,0.01,1,3,1,4
200,3,0.001,0.01,0,0,4,4
200,3,0.001,0.01,-1,0,0,4
300,3,0.001,0.01,1,4,0,4
300,3,0.001,0.01,0,0,4,4
300,3,0.001,0.01,-1,0,0,4
400,3,0.001,0.01,1,4,0,4
400,3,0.001,0.01,0,0,4,4
400,3,0.001,0.01,-1,0,0,4
500,3,0.001,0.01,1,4,0,4
500,3,0.001,0.01,0,0,4,4
500,3,0.001,0.01,-1,0,0,4
600,3,0.001,0.01,1,4,0,4
600,3,0.001,0.01,0,0,4,4
600,3,0.001,0.01,-1,0,0,4
100,4,0.001,0.01,1,1,1,4
100,4,0.001,0.01,0,0,3,4
100,4,0.001,0.01,-1,0,0,4
200,4,0.001,0.01,1,3,1,4
200,4,0.001,0.01,0,0,4,4
200,4,0.001,0.01,-1,0,0,4
300,4,0.001,0.01,1,4,0,4
300,4,0.001,0.01,0,0,4,4
300,4,0.001,0.01,-1,0,0,4
400,4,0.001,0.01,1,4,0,4
400,4,0.001,0.01,0,0,4,4
400,4,0.001,0.01,-1,0,0,4
500,4,0.001,0.01,1,4,0,4
500,4,0.001,0.01,0,0,4,4
500,4,0.001,0.01,-1,0,0,4
600,4,0.001,0.01,1,4,0,4
600,4,0.001,0.01,0,0,4,4
600,4,0.001,0.01,-1,0,0,4
100,5,0.001,0.01,1,0,2,4
100,5,0.001,0.01,0,0,4,4
100,5,0.001,0.01,-1,0,0,4
200,5,0.001,0.01,1,4,0,4
200,5,0.001,0.01,0,0,4,4
200,5,0.001,0.01,-1,0,0,4
300,5,0.001,0.01,1,4,0,4
300,5,0.001,0.01,0,0,4,4
300,5,0.001,0.01,-1,0,0,4
400,5,0.001,0.01,1,4,0,4
400,5,0.001,0.01,0,0,4,4
400,5,0.001,0.01,-1,0,0,4
500,5,0.001,0.01,1,4,0,4
500,5,0.001,0.01,0,0,4,4
500,5,0.001,0.01,-1,0,0,4
600,5,0.001,0.01,1,4,0,4
600,5,0.001,0.01,0,0,4,4
600,5,0.001,0.01,-1,0,0,4
100,6,0.001,0.01,1,0,2,4
100,6,0.001,0.01,0,0,2,4
100,6,0.001,0.01,-1,0,0,4
200,6,0.001,0.01,1,4,0,4
200,6,0.001,0.01,0,0,4,4
200,6,0.001,0.01,-1,0,0,4
300,6,0.001,0.01,1,4,0,4
300,6,0.001,0.01,0,0,4,4
300,6,0.001,0.01,-1,0,0,4
400,6,0.001,0.01,1,4,0,4
400,6,0.001,0.01,0,0,4,4
400,6,0.001,0.01,-1,0,0,4
500,6,0.001,0.01,1,4,0,4
500,6,0.001,0.01,0,0,4,4
500,6,0.001,0.01,-1,0,0,4
600,6,0.001,0.01,1,4,0,4
600,6,0.001,0.01,0,0,4,4
600,6,0.001,0.01,-1,0,0,4
100,7,0.001,0.01,1,2,2,4
100,7,0.001,0.01,0,0,3,4
100,7,0.001,0.01,-1,0,0,4
200,7,0.001,0.01,1,3,1,4
200,7,0.001,0.01,0,0,4,4
200,7,0.001,0.01,-1,0,0,4
300,7,0.001,0.01,1,4,0,4
300,7,0.001,0.01,0,0,4,4
300,7,0.001,0.01,-1,0,0,4
400,7,0.001,0.01,1,4,0,4
400,7,0.001,0.01,0,0,4,4
400,7,0.001,0.01,-1,0,0,4
500,7,0.001,0.01,1,4,0,4
500,7,0.001,0.01,0,0,4,4
500,7,0.001,0.01,-1,0,0,4
600,7,0.001,0.01,1,4,0,4
600,7,0.001,0.01,0,0,4,4
600,7,0.001,0.01,-1,0,1,4
100,8,0.001,0.01,1,0,1,4
100,8,0.001,0.01,0,0,3,4
100,8,0.001,0.01,-1,0,0,4
200,8,0.001,0.01,1,3,1,4
200,8,0.001,0.01,0,0,4,4
200,8,0.001,0.01,-1,0,1,4
300,8,0.001,0.01,1,4,0,4
300,8,0.001,0.01,0,0,4,4
300,8,0.001,0.01,-1,0,1,4
400,8,0.001,0.01,1,4,0,4
400,8,0.001,0.01,0,0,4,4
400,8,0.001,0.01,-1,0,0,4
500,8,0.001,0.01,1,4,0,4
500,8,0.001,0.01,0,0,4,4
500,8,0.001,0.01,-1,0,0,4
600,8,0.001,0.01,1,4,0,4
600,8,0.001,0.01,0,0,4,4
600,8,0.001,0.01,-1,0,0,4
100,9,0.001,0.01,1,2,2,4
100,9,0.001,0.01,0,0,3,4
100,9,0.001,0.01,-1,0,0,4
200,9,0.001,0.01,1,3,1,4
200,9,0.001,0.01,0,0,4,4
200,9,0.001,0.01,-1,0,0,4
300,9,0.001,0.01,1,3,1,4
300,9,0.001,0.01,0,0,4,4
300,9,0.001,0.01,-1,0,1,4
400,9,0.001,0.01,1,4,0,4
400,9,0.001,0.01,0,0,4,4
400,9,0.001,0.01,-1,0,1,4
500,9,0.001,0.01,1,4,0,4
500,9,0.001,0.01,0,0,4,4
500,9,0.001,0.01,-1,0,0,4
600,9,0.001,0.01,1,4,0,4
600,9,0.001,0.01,0,0,4,4
600,9,0.001,0.01,-1,0,0,4
600,0,0.001,0.01,1,4,0,4
600,0,0.001,0.01,0,0,4,4
600,0,0.001,0.01,-1,0,0,4
600,5,0.001,0.01,1,4,0,4
700,0,0.001,0.01,1,4,0,4
600,5,0.001,0.01,0,0,4,4
600,5,0.001,0.01,-1,0,0,4
700,0,0.001,0.01,0,0,4,4
700,5,0.001,0.01,1,4,0,4
700,0,0.001,0.01,-1,0,0,4
700,5,0.001,0.01,0,0,4,4
800,0,0.001,0.01,1,4,0,4
700,5,0.001,0.01,-1,0,0,4
800,0,0.001,0.01,0,0,4,4
800,5,0.001,0.01,1,4,0,4
800,0,0.001,0.01,-1,0,0,4
800,5,0.001,0.01,0,0,4,4
600,1,0.001,0.01,1,4,0,4
800,5,0.001,0.01,-1,0,0,4
600,1,0.001,0.01,0,0,4,4
600,6,0.001,0.01,1,4,0,4
600,1,0.001,0.01,-1,0,0,4
600,6,0.001,0.01,0,0,4,4
700,1,0.001,0.01,1,4,0,4
600,6,0.001,0.01,-1,0,0,4
700,1,0.001,0.01,0,0,4,4
700,6,0.001,0.01,1,4,0,4
700,1,0.001,0.01,-1,0,0,4
700,6,0.001,0.01,0,0,4,4
800,1,0.001,0.01,1,4,0,4
700,6,0.001,0.01,-1,0,0,4
800,1,0.001,0.01,0,0,4,4
800,6,0.001,0.01,1,4,0,4
800,1,0.001,0.01,-1,0,0,4
800,6,0.001,0.01,0,0,4,4
600,2,0.001,0.01,1,4,0,4
800,6,0.001,0.01,-1,0,0,4
600,2,0.001,0.01,0,0,4,4
600,7,0.001,0.01,1,4,0,4
600,2,0.001,0.01,-1,0,0,4
600,7,0.001,0.01,0,0,4,4
700,2,0.001,0.01,1,4,0,4
600,7,0.001,0.01,-1,0,0,4
700,2,0.001,0.01,0,0,4,4
700,7,0.001,0.01,1,4,0,4
700,2,0.001,0.01,-1,0,0,4
700,7,0.001,0.01,0,0,4,4
800,2,0.001,0.01,1,4,0,4
700,7,0.001,0.01,-1,0,0,4
800,2,0.001,0.01,0,0,4,4
800,7,0.001,0.01,1,4,0,4
800,2,0.001,0.01,-1,0,1,4
800,7,0.001,0.01,0,0,4,4
600,3,0.001,0.01,1,4,0,4
800,7,0.001,0.01,-1,0,0,4
600,3,0.001,0.01,0,0,4,4
600,8,0.001,0.01,1,4,0,4
600,3,0.001,0.01,-1,0,0,4
600,8,0.001,0.01,0,0,4,4
700,3,0.001,0.01,1,4,0,4
600,8,0.001,0.01,-1,0,2,4
700,3,0.001,0.01,0,0,4,4
700,8,0.001,0.01,1,4,0,4
700,3,0.001,0.01,-1,0,0,4
700,8,0.001,0.01,0,0,4,4
700,8,0.001,0.01,-1,0,0,4
800,3,0.001,0.01,1,4,0,4
800,8,0.001,0.01,1,4,0,4
800,3,0.001,0.01,0,0,4,4
800,8,0.001,0.01,0,0,4,4
800,3,0.001,0.01,-1,0,0,4
600,4,0.001,0.01,1,4,0,4
800,8,0.001,0.01,-1,0,0,4
600,4,0.001,0.01,0,0,4,4
600,9,0.001,0.01,1,4,0,4
600,4,0.001,0.01,-1,0,0,4
600,9,0.001,0.01,0,0,4,4
700,4,0.001,0.01,1,4,0,4
600,9,0.001,0.01,-1,0,1,4
700,4,0.001,0.01,0,0,4,4
700,9,0.001,0.01,1,4,0,4
700,4,0.001,0.01,-1,0,0,4
700,9,0.001,0.01,0,0,4,4
700,9,0.001,0.01,-1,0,0,4
800,4,0.001,0.01,1,4,0,4
800,9,0.001,0.01,1,4,0,4
800,4,0.001,0.01,0,0,4,4
800,9,0.001,0.01,0,0,4,4
800,4,0.001,0.01,-1,0,0,4
800,9,0.001,0.01,-1,0,1,4
